id,x,y,true_label,typology,kmeans_cluster,kmeans_matched
406,19.90493,26.461578,4,t5,7,4
407,-41.55855,0.96603066,2,t3,1,2
408,-1.1601014,42.23916,1,t2,4,1
409,-6.6348543,-13.676434,3,t4,2,3
410,-40.965775,0.399431,2,t3,1,2
411,-9.987652,-18.53766,6,t7,3,6
412,17.964918,28.410822,4,t5,4,1
413,-29.571815,-14.277048,6,t7,3,6
414,12.993673,32.174847,1,t2,4,1
415,11.030695,33.939514,1,t2,4,1
416,-41.123867,4.515341,2,t3,1,2
417,11.85375,-29.561323,7,t8,6,7
418,-0.47838262,10.752685,7,t8,2,3
419,12.093994,36.25928,1,t2,4,1
420,-29.434412,-14.317831,6,t7,3,6
421,19.30363,-37.796722,7,t8,6,7
422,-37.444775,-10.934101,2,t3,1,2
423,16.263838,-36.208992,7,t8,6,7
424,-5.3195577,-3.8349192,7,t8,2,3
425,-33.91281,-10.454992,2,t3,1,2
426,-0.23308726,42.41888,1,t2,4,1
427,-38.36883,-7.111538,2,t3,1,2
428,-11.212657,-20.253588,6,t7,3,6
429,7.9930444,-35.792515,7,t8,6,7
430,-35.325768,23.968328,0,t1,5,0
431,-22.260548,23.493483,0,t1,5,0
432,-11.079845,-19.816408,6,t7,3,6
433,31.628561,-11.353061,5,t6,0,5
434,19.384657,22.368925,4,t5,7,4
435,-21.753115,19.194174,0,t1,5,0
436,-19.600897,23.955822,0,t1,5,0
437,5.845022,40.177208,1,t2,4,1
438,11.348687,-30.153183,7,t8,6,7
439,-1.5595143,-5.9667063,3,t4,2,3
440,-1.183897,-4.9232917,3,t4,2,3
441,-30.86559,20.904974,0,t1,5,0
442,35.25032,20.371902,4,t5,7,4
443,-44.916313,-0.41358185,2,t3,1,2
444,2.2585957,38.999348,1,t2,4,1
445,11.357793,36.226887,1,t2,4,1
446,13.191602,32.008778,1,t2,4,1
447,23.316605,-8.376337,5,t6,0,5
448,13.583481,32.66631,1,t2,4,1
449,-17.601934,-32.80902,6,t7,3,6
450,-38.081978,-9.919912,2,t3,1,2
451,21.040966,23.620037,4,t5,7,4
