typology,curve,candidate_frame,window_start,window_end
b2,curve_54,25,22,28
b2,curve_54,26,23,29
b2,curve_54,27,24,30
b2,curve_55,5,2,8
b2,curve_55,6,3,9
b2,curve_55,7,4,10
b2,curve_55,20,17,23
b2,curve_55,21,18,24
b2,curve_55,22,19,25
b2,curve_55,23,20,26
b2,curve_56,7,4,10
b2,curve_56,8,5,11
b2,curve_56,9,6,12
b2,curve_56,21,18,24
b2,curve_56,22,19,25
b2,curve_56,23,20,26
b2,curve_56,24,21,27
b2,curve_57,6,3,9
b2,curve_57,7,4,10
b2,curve_57,8,5,11
b2,curve_57,9,6,12
b2,curve_57,10,7,13
b2,curve_57,20,17,23
b2,curve_57,21,18,24
b2,curve_57,22,19,25
b2,curve_57,23,20,26
b2,curve_57,24,21,27
b2,curve_58,5,2,8
b2,curve_58,6,3,9
b2,curve_58,7,4,10
b2,curve_58,19,16,22
b2,curve_58,20,17,23
b2,curve_58,21,18,24
b2,curve_58,22,19,25
b2,curve_59,6,3,9
b2,curve_59,7,4,10
b2,curve_59,8,5,11
b2,curve_59,20,17,23
b2,curve_59,21,18,24
b2,curve_59,22,19,25
b2,curve_59,23,20,26
b2,curve_60,7,4,10
b2,curve_60,8,5,11
b2,curve_60,9,6,12
b2,curve_60,10,7,13
b2,curve_60,21,18,24
b2,curve_60,22,19,25
b2,curve_60,23,20,26
b2,curve_60,24,21,27
b2,curve_61,9,6,12
b2,curve_61,10,7,13
b2,curve_61,11,8,14
b2,curve_61,12,9,15
b2,curve_61,22,19,25
b2,curve_61,23,20,26
b2,curve_61,24,21,27
b2,curve_61,25,22,28
b2,curve_61,26,23,29
b2,curve_61,27,24,30
b2,curve_62,5,2,8
b2,curve_62,6,3,9
b2,curve_62,7,4,10
b2,curve_62,8,5,11
b2,curve_62,9,6,12
b2,curve_62,19,16,22
b2,curve_62,20,17,23
b2,curve_62,21,18,24
b2,curve_62,22,19,25
b2,curve_62,23,20,26
b2,curve_63,5,2,8
b2,curve_63,6,3,9
b2,curve_63,7,4,10
b2,curve_63,8,5,11
b2,curve_63,9,6,12
b2,curve_63,20,17,23
b2,curve_63,21,18,24
b2,curve_63,22,19,25
b2,curve_63,23,20,26
b2,curve_63,24,21,27
b2,curve_63,25,22,28
b2,curve_63,26,23,29
b2,curve_64,5,2,8
b2,curve_64,6,3,9
b2,curve_64,7,4,10
b2,curve_64,8,5,11
b2,curve_64,20,17,23
b2,curve_64,21,18,24
b2,curve_64,22,19,25
b2,curve_64,23,20,26
b2,curve_65,5,2,8
b2,curve_65,6,3,9
b2,curve_65,7,4,10
b2,curve_65,19,16,22
b2,curve_65,20,17,23
b2,curve_65,21,18,24
b2,curve_65,22,19,25
b2,curve_66,5,2,8
b2,curve_66,6,3,9
b2,curve_66,7,4,10
b2,curve_66,8,5,11
b2,curve_66,20,17,23
b2,curve_66,21,18,24
b2,curve_66,22,19,25
b2,curve_66,23,20,26
b2,curve_67,6,3,9
b2,curve_67,7,4,10
b2,curve_67,8,5,11
b2,curve_67,9,6,12
b2,curve_67,20,17,23
b2,curve_67,21,18,24
b2,curve_67,22,19,25
b2,curve_67,23,20,26
b2,curve_67,24,21,27
b2,curve_68,5,2,8
b2,curve_68,6,3,9
b2,curve_68,7,4,10
b2,curve_68,8,5,11
b2,curve_68,21,18,24
b2,curve_68,22,19,25
b2,curve_68,23,20,26
b2,curve_69,7,4,10
b2,curve_69,8,5,11
b2,curve_69,9,6,12
b2,curve_69,10,7,13
b2,curve_69,22,19,25
b2,curve_69,23,20,26
b2,curve_69,24,21,27
b2,curve_69,25,22,28
b2,curve_70,4,1,7
b2,curve_70,5,2,8
b2,curve_70,6,3,9
b2,curve_70,7,4,10
b2,curve_70,18,15,21
b2,curve_70,19,16,22
b2,curve_70,20,17,23
b2,curve_70,21,18,24
b2,curve_71,7,4,10
b2,curve_71,8,5,11
b2,curve_71,9,6,12
b2,curve_71,20,17,23
b2,curve_71,21,18,24
b2,curve_71,22,19,25
b2,curve_71,23,20,26
b2,curve_71,24,21,27
b2,curve_72,6,3,9
b2,curve_72,7,4,10
b2,curve_72,8,5,11
b2,curve_72,9,6,12
b2,curve_72,10,7,13
b2,curve_72,11,8,14
b2,curve_72,21,18,24
